exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,20,5000,5000,10,1,9,0,1,9,0,0,10,0,0,10,0,0,10,0
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,20,20000,20000,10,0,8,2,0,8,2,0,10,0,0,10,0,0,10,0
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,20,50000,32106,10,5,5,0,5,5,0,0,10,0,0,10,0,0,10,0
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,50,5000,5000,10,0,9,1,0,9,1,0,10,0,0,8,2,1,7,2
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,50,20000,20000,10,0,9,1,0,9,1,0,10,0,0,10,0,0,10,0
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,50,50000,32106,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,100,5000,5000,10,1,8,1,0,9,1,0,10,0,3,6,1,4,4,2
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,1,44556670,1000000000.0,1e-08,1e-08,200,32106,0.11332221033517928,100,50000,32106,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,20,5000,5000,10,1,9,0,1,9,0,0,10,0,0,10,0,0,10,0
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,20,20000,20000,10,1,9,0,1,9,0,0,10,0,0,10,0,0,10,0
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,20,50000,31602,10,2,7,1,2,7,1,0,10,0,0,10,0,0,10,0
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,50,5000,5000,10,0,9,1,0,9,1,0,10,0,1,8,1,1,6,3
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,50,50000,31602,10,0,9,1,0,9,1,0,10,0,0,10,0,0,10,0
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,100,5000,5000,10,1,9,0,1,9,0,0,10,0,4,5,1,4,5,1
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,100,20000,20000,10,0,10,0,0,10,0,0,10,0,1,9,0,1,8,1
9,2,1565348188,1000000000.0,1e-08,1e-08,200,31602,0.1200679180458761,100,50000,31602,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,20,5000,5000,10,1,7,2,1,7,2,0,10,0,0,10,0,1,8,1
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,20,20000,20000,10,0,7,3,0,7,3,0,10,0,0,10,0,0,9,1
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,20,50000,31814,10,2,6,2,2,6,2,0,10,0,0,10,0,0,10,0
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,50,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,50,50000,31814,10,3,7,0,3,7,0,0,10,0,0,10,0,0,10,0
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,100,5000,5000,10,1,9,0,1,9,0,0,10,0,3,5,2,3,5,2
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,3,2155534974,1000000000.0,1e-08,1e-08,200,31814,0.11202638353208859,100,50000,31814,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,4,2143748597,1000000000.0,1e-08,1e-08,200,31544,0.11242018510691065,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,4,2143748597,1000000000.0,1e-08,1e-08,200,31544,0.11242018510691065,20,20000,20000,10,4,6,0,2,8,0,0,10,0,0,10,0,0,10,0
9,4,2143748597,1000000000.0,1e-08,1e-08,200,31544,0.11242018510691065,20,50000,31544,10,1,6,3,1,6,3,0,10,0,0,10,0,0,10,0
