exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,20,5000,5000,10,0,10,0,0,10,0,1,8,1,1,7,2,3,4,3
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,20,20000,20000,10,0,9,1,0,9,1,0,10,0,1,8,1,5,3,2
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,3,6,1
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,50,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,3,4
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,50,20000,20000,10,2,8,0,2,8,0,2,8,0,3,3,4,3,3,4
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,50,50000,50000,10,0,10,0,0,10,0,0,10,0,2,7,1,4,3,3
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,100,5000,5000,10,0,10,0,0,10,0,0,10,0,7,1,2,7,1,2
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,100,20000,20000,10,0,10,0,0,10,0,0,10,0,5,2,3,5,2,3
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10133941224436734,100,50000,50000,10,0,9,1,0,9,1,0,10,0,4,1,5,4,1,5
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,8,2,0,7,3
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,8,2,3,5,2
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,5,3,2
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,50,5000,5000,10,1,9,0,1,9,0,2,8,0,3,3,4,3,3,4
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,50,20000,20000,10,0,8,2,0,9,1,0,9,1,2,5,3,3,2,5
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,50,50000,50000,10,1,7,2,1,7,2,1,8,1,2,5,3,2,5,3
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,100,5000,5000,10,1,7,2,1,7,2,1,8,1,1,4,5,1,4,5
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,100,20000,20000,10,0,9,1,0,9,1,0,9,1,3,3,4,3,3,4
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10115145528498591,100,50000,50000,10,0,10,0,0,10,0,0,10,0,3,2,5,4,1,5
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,20,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,20,20000,20000,10,0,10,0,0,10,0,0,10,0,1,8,1,2,6,2
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,20,50000,50000,10,0,9,1,0,9,1,0,10,0,0,9,1,2,6,2
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,50,5000,5000,10,1,9,0,0,10,0,0,10,0,7,0,3,7,0,3
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,50,20000,20000,10,0,9,1,0,9,1,0,9,1,2,4,4,3,2,5
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,50,50000,50000,10,0,10,0,0,10,0,0,10,0,1,7,2,1,2,7
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,100,5000,5000,10,0,9,1,0,9,1,0,9,1,1,4,5,1,4,5
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,100,20000,20000,10,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10081009251424644,100,50000,50000,10,0,10,0,0,10,0,0,10,0,7,1,2,8,0,2
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,20,5000,5000,10,0,9,1,0,9,1,1,8,1,3,4,3,4,3,3
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,2,5,3
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,3,4,3
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,50,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,50,20000,20000,10,1,9,0,1,9,0,1,9,0,6,2,2,8,0,2
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,50,50000,50000,10,0,10,0,0,10,0,0,10,0,2,5,3,2,4,4
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,100,5000,5000,10,0,10,0,0,10,0,0,10,0,6,3,1,6,3,1
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,100,20000,20000,10,0,9,1,0,9,1,0,10,0,4,2,4,4,2,4
8,4,1028385129,500000000.0,1e-08,1e-08,5000,990215,0.10172953985024494,100,50000,50000,10,1,9,0,1,9,0,0,10,0,4,4,2,6,2,2
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,20,5000,5000,10,0,9,1,0,9,1,0,9,1,0,8,2,0,6,4
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,20,20000,20000,10,0,9,1,1,8,1,0,9,1,1,7,2,2,4,4
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,5,3,2
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,50,5000,5000,10,0,10,0,0,10,0,0,9,1,2,2,6,2,2,6
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,50,20000,20000,10,0,10,0,0,10,0,0,10,0,5,3,2,5,3,2
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,50,50000,50000,10,0,10,0,0,10,0,0,10,0,3,5,2,5,2,3
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,100,5000,5000,10,0,10,0,0,10,0,0,10,0,4,1,5,4,1,5
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,100,20000,20000,10,0,8,2,0,8,2,0,9,1,5,2,3,5,2,3
8,5,3733162117,500000000.0,1e-08,1e-08,5000,986523,0.10162086800441207,100,50000,50000,10,0,10,0,0,10,0,0,10,0,4,0,6,4,0,6
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,20,5000,5000,10,0,10,0,0,10,0,0,10,0,1,7,2,2,5,3
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,20,20000,20000,10,1,8,1,1,8,1,1,8,1,2,7,1,4,1,5
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,20,50000,50000,10,1,9,0,1,9,0,0,10,0,1,9,0,2,6,2
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,50,5000,5000,10,0,10,0,0,10,0,0,10,0,5,4,1,5,4,1
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,50,20000,20000,10,2,8,0,2,8,0,2,8,0,3,4,3,3,3,4
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,50,50000,50000,10,0,9,1,0,9,1,0,10,0,2,3,5,2,2,6
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,100,5000,5000,10,0,9,1,0,9,1,0,9,1,1,3,6,1,3,6
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,100,20000,20000,10,0,9,1,0,9,1,0,9,1,2,4,4,2,4,4
8,6,1621423066,500000000.0,1e-08,1e-08,5000,988911,0.10126663527975326,100,50000,50000,10,0,10,0,0,10,0,0,10,0,6,2,2,7,1,2
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,20,5000,5000,10,1,9,0,1,9,0,1,9,0,3,4,3,3,4,3
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,9,1,3,5,2
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,20,50000,50000,10,1,9,0,1,9,0,0,10,0,0,10,0,4,4,2
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,50,5000,5000,10,0,10,0,0,10,0,0,10,0,4,2,4,4,2,4
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,50,20000,20000,10,1,9,0,2,8,0,1,9,0,5,3,2,5,2,3
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,50,50000,50000,10,0,10,0,0,10,0,0,10,0,4,4,2,5,2,3
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,100,5000,5000,10,1,9,0,1,9,0,1,9,0,6,3,1,6,3,1
8,7,2280007816,500000000.0,1e-08,1e-08,5000,986313,0.10141901030615143,100,20000,20000,10,1,9,0,1,9,0,1,9,0,4,3,3,4,1,5
