exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,20,5000,5000,10,0,10,0,0,10,0,0,10,0,2,8,0,3,6,1
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,3,3,4
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,1,5,4
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,50,5000,5000,10,0,10,0,0,10,0,0,10,0,4,4,2,4,3,3
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,50,20000,20000,10,0,10,0,0,10,0,0,10,0,5,4,1,6,3,1
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,50,50000,50000,10,0,10,0,0,10,0,0,10,0,0,9,1,3,4,3
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,100,5000,5000,10,1,9,0,2,8,0,1,9,0,3,1,6,3,1,6
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,100,20000,20000,10,0,9,1,0,9,1,0,9,1,4,1,5,4,1,5
8,1,3751350723,100000000.0,1e-08,1e-08,5000,198706,0.10255709106032847,100,50000,50000,10,0,9,1,0,9,1,0,9,1,4,3,3,4,3,3
8,2,47736148,100000000.0,1e-08,1e-08,5000,198241,0.10113423809216743,20,5000,5000,10,0,10,0,0,10,0,0,9,1,3,4,3,3,3,4
8,2,47736148,100000000.0,1e-08,1e-08,5000,198241,0.10113423809216743,20,20000,20000,10,1,9,0,1,9,0,1,9,0,3,7,0,6,4,0
