exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,20,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,3,4
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,1,6,3
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,2,7,1
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,50,5000,5000,10,0,10,0,0,10,0,0,10,0,5,3,2,6,2,2
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,50,20000,20000,10,0,10,0,0,10,0,0,10,0,1,9,0,2,8,0
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,50,50000,50000,10,0,10,0,0,10,0,0,10,0,1,9,0,3,5,2
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,100,5000,5000,10,0,10,0,0,10,0,0,10,0,6,0,4,6,0,4
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,100,20000,20000,10,0,10,0,0,10,0,0,10,0,7,1,2,7,1,2
8,1,3751350723,500000000.0,1e-08,1e-08,1000,165204,0.12121346229759998,100,50000,50000,10,0,10,0,1,9,0,0,10,0,4,2,4,4,2,4
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,20,5000,5000,10,0,10,0,0,10,0,0,10,0,2,8,0,2,6,2
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,20,20000,20000,10,1,9,0,1,9,0,0,10,0,1,9,0,4,6,0
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,2,5,3
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,50,5000,5000,10,0,9,1,0,10,0,0,10,0,4,4,2,4,3,3
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,50,20000,20000,10,0,10,0,0,9,1,0,10,0,3,4,3,3,4,3
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,50,50000,50000,10,0,10,0,0,10,0,0,10,0,1,7,2,2,5,3
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,100,5000,5000,10,1,9,0,1,9,0,1,9,0,4,3,3,4,3,3
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,5,5,1,4,5
8,2,47736148,500000000.0,1e-08,1e-08,1000,164519,0.11885792048705808,100,50000,50000,10,0,10,0,0,10,0,0,10,0,2,4,4,3,3,4
8,3,4159850481,500000000.0,1e-08,1e-08,1000,166370,0.12196738297320804,20,5000,5000,10,0,9,1,0,9,1,0,9,1,1,7,2,2,4,4
8,3,4159850481,500000000.0,1e-08,1e-08,1000,166370,0.12196738297320804,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,2,6,2
8,3,4159850481,500000000.0,1e-08,1e-08,1000,166370,0.12196738297320804,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,2,5,3
