num_sites,pop_ts_diversity,bt_standard_normal,jk_delete_one,jk_delete_mj
1000,0.15148627739636147,0.949,0.952,0.95
2333,0.15148627739636147,0.938,0.944,0.958
3666,0.15148627739636147,0.951,0.953,0.967
5000,0.15148627739636147,0.958,0.961,0.973
