experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
9,50,5000,10,500000000.0,1e-08,1e-08,0.024755134558778365,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
9,50,20000,10,500000000.0,1e-08,1e-08,0.024755134558778365,2.0,6.0,2.0,2.0,6.0,2.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,8.0,2.0
9,50,50000,10,500000000.0,1e-08,1e-08,0.024755134558778365,4.0,4.0,2.0,4.0,4.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
10,50,5000,10,500000000.0,1e-08,1e-08,0.024719936313940098,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
10,50,20000,10,500000000.0,1e-08,1e-08,0.024719936313940098,0.0,7.0,3.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
10,50,50000,10,500000000.0,1e-08,1e-08,0.024719936313940098,0.0,7.0,3.0,0.0,7.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
11,50,5000,10,500000000.0,1e-08,1e-08,0.024788938313970967,1.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
11,50,20000,10,500000000.0,1e-08,1e-08,0.024788938313970967,2.0,6.0,2.0,2.0,6.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
11,50,50000,10,500000000.0,1e-08,1e-08,0.024788938313970967,4.0,4.0,2.0,4.0,4.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
12,50,5000,10,500000000.0,1e-08,1e-08,0.024415770269233878,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
12,50,20000,10,500000000.0,1e-08,1e-08,0.024415770269233878,2.0,7.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
12,50,50000,10,500000000.0,1e-08,1e-08,0.024415770269233878,3.0,6.0,1.0,3.0,6.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
13,50,5000,10,500000000.0,1e-08,1e-08,0.024816872183196382,0.0,8.0,2.0,0.0,8.0,2.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,8.0,2.0
13,50,20000,10,500000000.0,1e-08,1e-08,0.024816872183196382,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
13,50,50000,10,500000000.0,1e-08,1e-08,0.024816872183196382,2.0,7.0,1.0,2.0,7.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
14,50,5000,10,500000000.0,1e-08,1e-08,0.023328170771191942,0.0,8.0,2.0,0.0,8.0,2.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
14,50,20000,10,500000000.0,1e-08,1e-08,0.023328170771191942,1.0,7.0,2.0,1.0,7.0,2.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
14,50,50000,10,500000000.0,1e-08,1e-08,0.023328170771191942,1.0,5.0,4.0,1.0,5.0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
15,50,5000,10,500000000.0,1e-08,1e-08,0.024970985356519686,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
15,50,20000,10,500000000.0,1e-08,1e-08,0.024970985356519686,1.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
15,50,50000,10,500000000.0,1e-08,1e-08,0.024970985356519686,3.0,7.0,0.0,3.0,7.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
16,50,5000,10,500000000.0,1e-08,1e-08,0.02325797167484742,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
16,50,20000,10,500000000.0,1e-08,1e-08,0.02325797167484742,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
16,50,50000,10,500000000.0,1e-08,1e-08,0.02325797167484742,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
17,50,5000,10,500000000.0,1e-08,1e-08,0.024289092008475514,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
17,50,20000,10,500000000.0,1e-08,1e-08,0.024289092008475514,2.0,7.0,1.0,2.0,7.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
17,50,50000,10,500000000.0,1e-08,1e-08,0.024289092008475514,3.0,5.0,2.0,3.0,5.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
18,50,5000,10,500000000.0,1e-08,1e-08,0.022877621798782343,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
18,50,20000,10,500000000.0,1e-08,1e-08,0.022877621798782343,2.0,7.0,1.0,2.0,7.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0
18,50,50000,10,500000000.0,1e-08,1e-08,0.022877621798782343,5.0,4.0,1.0,5.0,4.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0
19,50,5000,10,500000000.0,1e-08,1e-08,0.025532952788687856,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
19,50,20000,10,500000000.0,1e-08,1e-08,0.025532952788687856,0.0,10.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
19,50,50000,10,500000000.0,1e-08,1e-08,0.025532952788687856,1.0,7.0,2.0,1.0,7.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
20,50,5000,10,500000000.0,1e-08,1e-08,0.02354525640779477,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
20,50,20000,10,500000000.0,1e-08,1e-08,0.02354525640779477,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
20,50,50000,10,500000000.0,1e-08,1e-08,0.02354525640779477,2.0,6.0,2.0,2.0,6.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
21,50,5000,10,500000000.0,1e-08,1e-08,0.023785740078510174,0.0,8.0,2.0,0.0,8.0,2.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,8.0,2.0
21,50,20000,10,500000000.0,1e-08,1e-08,0.023785740078510174,1.0,6.0,3.0,1.0,6.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
21,50,50000,10,500000000.0,1e-08,1e-08,0.023785740078510174,1.0,6.0,3.0,1.0,6.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
22,50,5000,10,500000000.0,1e-08,1e-08,0.024062543936854863,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
22,50,20000,10,500000000.0,1e-08,1e-08,0.024062543936854863,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
22,50,50000,10,500000000.0,1e-08,1e-08,0.024062543936854863,0.0,7.0,3.0,0.0,7.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
23,50,5000,10,500000000.0,1e-08,1e-08,0.024048779818044076,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
23,50,20000,10,500000000.0,1e-08,1e-08,0.024048779818044076,3.0,7.0,0.0,4.0,6.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
23,50,50000,10,500000000.0,1e-08,1e-08,0.024048779818044076,5.0,5.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
24,50,5000,10,500000000.0,1e-08,1e-08,0.023431450719521327,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
24,50,20000,10,500000000.0,1e-08,1e-08,0.023431450719521327,0.0,8.0,2.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
24,50,50000,10,500000000.0,1e-08,1e-08,0.023431450719521327,2.0,6.0,2.0,2.0,6.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
25,50,5000,10,500000000.0,1e-08,1e-08,0.024112377070597883,0.0,7.0,3.0,0.0,7.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
25,50,20000,10,500000000.0,1e-08,1e-08,0.024112377070597883,2.0,6.0,2.0,2.0,6.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
25,50,50000,10,500000000.0,1e-08,1e-08,0.024112377070597883,1.0,7.0,2.0,2.0,6.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
26,50,5000,10,500000000.0,1e-08,1e-08,0.024673866313986416,0.0,10.0,0.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
26,50,20000,10,500000000.0,1e-08,1e-08,0.024673866313986416,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
