experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,1000,100,1000000000.0,1e-08,1e-08,0.15374479274361313,1.0,97.0,2.0,1.0,97.0,2.0,1.0,97.0,2.0,40.0,30.0,30.0,39.0,30.0,31.0
1,50,1000,100,1000000000.0,1e-08,1e-08,0.14974419087232907,4.0,92.0,4.0,5.0,92.0,3.0,4.0,92.0,4.0,39.0,28.0,33.0,40.0,27.0,33.0
2,50,1000,100,1000000000.0,1e-08,1e-08,0.15115283523963885,4.0,91.0,5.0,3.0,92.0,5.0,3.0,93.0,4.0,37.0,25.0,38.0,37.0,25.0,38.0
