experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
15,50,50000,10,500000000.0,1e-08,1e-08,0.11989479944691668,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
16,50,5000,10,500000000.0,1e-08,1e-08,0.11942856026027289,0,9,1,0,9,1,0,9,1,2,4,4,2,4,4
16,50,20000,10,500000000.0,1e-08,1e-08,0.11942856026027289,0,10,0,0,10,0,0,10,0,4,5,1,4,5,1
16,50,50000,10,500000000.0,1e-08,1e-08,0.11942856026027289,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
17,50,5000,10,500000000.0,1e-08,1e-08,0.12110734042681966,0,9,1,0,9,1,0,10,0,1,4,5,1,4,5
17,50,20000,10,500000000.0,1e-08,1e-08,0.12110734042681966,0,10,0,0,10,0,0,10,0,3,6,1,3,7,0
17,50,50000,10,500000000.0,1e-08,1e-08,0.12110734042681966,0,9,1,0,9,1,0,10,0,2,6,2,2,6,2
18,50,5000,10,500000000.0,1e-08,1e-08,0.12054337814662461,0,10,0,0,10,0,0,10,0,5,4,1,5,4,1
18,50,20000,10,500000000.0,1e-08,1e-08,0.12054337814662461,1,9,0,1,9,0,0,10,0,3,6,1,3,6,1
18,50,50000,10,500000000.0,1e-08,1e-08,0.12054337814662461,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
19,50,5000,10,500000000.0,1e-08,1e-08,0.12182538415968469,0,10,0,0,10,0,0,10,0,2,5,3,2,5,3
19,50,20000,10,500000000.0,1e-08,1e-08,0.12182538415968469,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
19,50,50000,10,500000000.0,1e-08,1e-08,0.12182538415968469,1,9,0,1,9,0,1,9,0,3,5,2,3,5,2
20,50,5000,10,500000000.0,1e-08,1e-08,0.12117548953368759,0,9,1,0,9,1,0,9,1,5,3,2,5,3,2
20,50,20000,10,500000000.0,1e-08,1e-08,0.12117548953368759,0,10,0,0,10,0,0,10,0,5,3,2,5,3,2
20,50,50000,10,500000000.0,1e-08,1e-08,0.12117548953368759,1,9,0,1,9,0,0,10,0,3,7,0,3,7,0
21,50,5000,10,500000000.0,1e-08,1e-08,0.12139388983422823,0,9,1,0,9,1,0,9,1,3,4,3,3,4,3
21,50,20000,10,500000000.0,1e-08,1e-08,0.12139388983422823,2,8,0,2,8,0,1,9,0,3,6,1,3,6,1
21,50,50000,10,500000000.0,1e-08,1e-08,0.12139388983422823,1,9,0,1,9,0,0,10,0,1,8,1,1,8,1
22,50,5000,10,500000000.0,1e-08,1e-08,0.12206876778838105,0,10,0,0,10,0,0,10,0,4,3,3,4,3,3
22,50,20000,10,500000000.0,1e-08,1e-08,0.12206876778838105,0,10,0,0,10,0,0,10,0,0,7,3,0,7,3
22,50,50000,10,500000000.0,1e-08,1e-08,0.12206876778838105,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
23,50,5000,10,500000000.0,1e-08,1e-08,0.11976794177793817,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
23,50,20000,10,500000000.0,1e-08,1e-08,0.11976794177793817,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
23,50,50000,10,500000000.0,1e-08,1e-08,0.11976794177793817,0,8,2,0,8,2,0,10,0,0,8,2,0,8,2
24,50,5000,10,500000000.0,1e-08,1e-08,0.12106989732121387,1,8,1,1,8,1,1,8,1,4,2,4,4,2,4
24,50,20000,10,500000000.0,1e-08,1e-08,0.12106989732121387,2,8,0,2,8,0,2,8,0,4,5,1,4,5,1
24,50,50000,10,500000000.0,1e-08,1e-08,0.12106989732121387,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
25,50,5000,10,500000000.0,1e-08,1e-08,0.1198430233615677,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
25,50,20000,10,500000000.0,1e-08,1e-08,0.1198430233615677,0,9,1,0,9,1,0,10,0,0,4,6,0,4,6
25,50,50000,10,500000000.0,1e-08,1e-08,0.1198430233615677,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
26,50,5000,10,500000000.0,1e-08,1e-08,0.12076722116171257,0,9,1,0,9,1,0,9,1,3,3,4,3,3,4
26,50,20000,10,500000000.0,1e-08,1e-08,0.12076722116171257,0,9,1,0,9,1,0,10,0,3,4,3,3,4,3
26,50,50000,10,500000000.0,1e-08,1e-08,0.12076722116171257,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
27,50,5000,10,500000000.0,1e-08,1e-08,0.12060416355008766,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
27,50,20000,10,500000000.0,1e-08,1e-08,0.12060416355008766,0,8,2,0,8,2,0,8,2,1,6,3,1,6,3
27,50,50000,10,500000000.0,1e-08,1e-08,0.12060416355008766,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
28,50,5000,10,500000000.0,1e-08,1e-08,0.12145048271379046,1,8,1,1,8,1,0,9,1,3,4,3,3,5,2
28,50,20000,10,500000000.0,1e-08,1e-08,0.12145048271379046,0,10,0,0,10,0,0,10,0,3,7,0,3,7,0
28,50,50000,10,500000000.0,1e-08,1e-08,0.12145048271379046,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
29,50,5000,10,500000000.0,1e-08,1e-08,0.11956093716285872,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
29,50,20000,10,500000000.0,1e-08,1e-08,0.11956093716285872,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
29,50,50000,10,500000000.0,1e-08,1e-08,0.11956093716285872,0,9,1,0,9,1,0,10,0,0,10,0,0,10,0
30,50,5000,10,500000000.0,1e-08,1e-08,0.12154864611488543,0,10,0,0,10,0,0,10,0,2,8,0,3,7,0
30,50,20000,10,500000000.0,1e-08,1e-08,0.12154864611488543,0,9,1,0,9,1,0,10,0,3,4,3,3,4,3
30,50,50000,10,500000000.0,1e-08,1e-08,0.12154864611488543,0,9,1,0,9,1,0,10,0,0,9,1,0,9,1
31,50,5000,10,500000000.0,1e-08,1e-08,0.12047090042385603,0,10,0,0,10,0,0,10,0,6,2,2,6,2,2
31,50,20000,10,500000000.0,1e-08,1e-08,0.12047090042385603,0,10,0,0,10,0,0,10,0,1,5,4,1,5,4
31,50,50000,10,500000000.0,1e-08,1e-08,0.12047090042385603,0,8,2,0,9,1,0,10,0,3,5,2,3,5,2
32,50,5000,10,500000000.0,1e-08,1e-08,0.12177806435988255,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
32,50,20000,10,500000000.0,1e-08,1e-08,0.12177806435988255,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
32,50,50000,10,500000000.0,1e-08,1e-08,0.12177806435988255,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
33,50,5000,10,500000000.0,1e-08,1e-08,0.1201866682877899,1,9,0,1,9,0,1,9,0,2,4,4,2,4,4
33,50,20000,10,500000000.0,1e-08,1e-08,0.1201866682877899,0,9,1,0,9,1,0,10,0,1,8,1,1,7,2
33,50,50000,10,500000000.0,1e-08,1e-08,0.1201866682877899,1,9,0,0,10,0,0,10,0,3,5,2,2,6,2
34,50,5000,10,500000000.0,1e-08,1e-08,0.12050622603326629,0,9,1,0,9,1,0,9,1,1,5,4,1,5,4
34,50,20000,10,500000000.0,1e-08,1e-08,0.12050622603326629,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
34,50,50000,10,500000000.0,1e-08,1e-08,0.12050622603326629,1,9,0,1,9,0,0,10,0,1,9,0,1,9,0
35,50,5000,10,500000000.0,1e-08,1e-08,0.12014583371355221,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
35,50,20000,10,500000000.0,1e-08,1e-08,0.12014583371355221,0,9,1,0,9,1,0,9,1,1,5,4,1,5,4
35,50,50000,10,500000000.0,1e-08,1e-08,0.12014583371355221,2,6,2,2,6,2,0,9,1,2,6,2,2,6,2
36,50,5000,10,500000000.0,1e-08,1e-08,0.1206674336508244,0,9,1,0,9,1,0,10,0,5,3,2,5,3,2
36,50,20000,10,500000000.0,1e-08,1e-08,0.1206674336508244,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
36,50,50000,10,500000000.0,1e-08,1e-08,0.1206674336508244,0,7,3,0,7,3,0,9,1,0,9,1,0,9,1
37,50,5000,10,500000000.0,1e-08,1e-08,0.12068362596435221,0,10,0,0,10,0,0,10,0,1,4,5,1,5,4
37,50,20000,10,500000000.0,1e-08,1e-08,0.12068362596435221,0,9,1,0,10,0,0,10,0,1,7,2,1,7,2
37,50,50000,10,500000000.0,1e-08,1e-08,0.12068362596435221,0,10,0,0,10,0,0,10,0,1,8,1,1,9,0
38,50,5000,10,500000000.0,1e-08,1e-08,0.1186553577835481,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
38,50,20000,10,500000000.0,1e-08,1e-08,0.1186553577835481,0,9,1,0,9,1,0,10,0,1,6,3,1,6,3
38,50,50000,10,500000000.0,1e-08,1e-08,0.1186553577835481,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
39,50,5000,10,500000000.0,1e-08,1e-08,0.11885616184900968,0,9,1,0,9,1,0,9,1,4,4,2,4,4,2
39,50,20000,10,500000000.0,1e-08,1e-08,0.11885616184900968,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
39,50,50000,10,500000000.0,1e-08,1e-08,0.11885616184900968,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
40,50,5000,10,500000000.0,1e-08,1e-08,0.12132653122038727,0,10,0,0,10,0,0,10,0,3,4,3,4,3,3
40,50,20000,10,500000000.0,1e-08,1e-08,0.12132653122038727,0,10,0,0,10,0,0,10,0,3,7,0,3,7,0
40,50,50000,10,500000000.0,1e-08,1e-08,0.12132653122038727,0,9,1,0,9,1,0,10,0,2,7,1,2,7,1
41,50,5000,10,500000000.0,1e-08,1e-08,0.1196886050780988,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
41,50,20000,10,500000000.0,1e-08,1e-08,0.1196886050780988,2,8,0,2,8,0,0,10,0,2,6,2,2,6,2
41,50,50000,10,500000000.0,1e-08,1e-08,0.1196886050780988,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
42,50,5000,10,500000000.0,1e-08,1e-08,0.12138780270247466,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
