exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,20,5000,5000,10,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,20,20000,20000,10,0,9,1,0,9,1,0,10,0,3,5,2,3,5,2
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,20,50000,50000,10,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,50,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,50,20000,20000,10,2,7,1,2,7,1,2,8,0,2,4,4,2,4,4
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,50,50000,50000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,100,5000,5000,10,0,10,0,0,10,0,0,10,0,7,1,2,7,1,2
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,100,20000,20000,10,0,10,0,0,10,0,0,10,0,5,2,3,5,2,3
8,1,3751350723,500000000.0,1e-08,1e-08,5000,986459,0.10134585380639236,100,50000,50000,10,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,20,5000,5000,10,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,20,20000,20000,10,0,9,1,0,9,1,0,9,1,3,5,2,2,6,2
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,20,50000,50000,10,0,9,1,0,9,1,0,10,0,4,5,1,3,6,1
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,50,5000,5000,10,2,8,0,2,8,0,2,8,0,3,3,4,3,4,3
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,50,20000,20000,10,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,50,50000,50000,10,1,8,1,1,8,1,1,9,0,2,6,2,2,6,2
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,100,5000,5000,10,1,8,1,1,9,0,1,8,1,1,5,4,1,5,4
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,100,20000,20000,10,0,9,1,0,9,1,0,9,1,2,4,4,2,4,4
8,2,47736148,500000000.0,1e-08,1e-08,5000,991127,0.10112954565862901,100,50000,50000,10,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10084899528293767,20,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10084899528293767,20,20000,20000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,3,4159850481,500000000.0,1e-08,1e-08,5000,987691,0.10084899528293767,20,50000,50000,10,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1
