experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,1000,100,1000000000.0,1e-08,1e-08,0.1506796567141558,1.0,96.0,3.0,1.0,96.0,3.0,1.0,97.0,2.0,23.0,44.0,33.0,22.0,45.0,33.0
i1,50,1000,100,1000000000.0,1e-08,1e-08,0.15115830338439068,2.0,95.0,3.0,2.0,96.0,2.0,2.0,97.0,1.0,26.0,48.0,26.0,23.0,51.0,26.0
2,50,1000,100,1000000000.0,1e-08,1e-08,0.15034615671781087,5.0,90.0,5.0,5.0,90.0,5.0,4.0,92.0,4.0,35.0,42.0,23.0,35.0,42.0,23.0
