experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,1000000000.0,1e-08,1e-08,0.12016761234660318,0,9,1,0,9,1,0,9,1,1,4,5,1,4,5
0,50,20000,10,1000000000.0,1e-08,1e-08,0.12016761234660318,0,10,0,0,10,0,0,10,0,4,3,3,4,2,4
0,50,50000,10,1000000000.0,1e-08,1e-08,0.12016761234660318,0,10,0,0,10,0,0,10,0,1,7,2,3,2,5
1,50,5000,10,1000000000.0,1e-08,1e-08,0.1207355292521775,0,10,0,0,10,0,0,10,0,6,1,3,6,1,3
1,50,20000,10,1000000000.0,1e-08,1e-08,0.1207355292521775,0,9,1,0,9,1,0,9,1,4,4,2,4,3,3
1,50,50000,10,1000000000.0,1e-08,1e-08,0.1207355292521775,0,10,0,0,10,0,0,10,0,2,7,1,3,3,4
2,50,5000,10,1000000000.0,1e-08,1e-08,0.1221830310500012,0,9,1,0,9,1,0,9,1,3,3,4,4,2,4
2,50,20000,10,1000000000.0,1e-08,1e-08,0.1221830310500012,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
2,50,50000,10,1000000000.0,1e-08,1e-08,0.1221830310500012,1,9,0,1,9,0,0,10,0,2,7,1,3,5,2
3,50,5000,10,1000000000.0,1e-08,1e-08,0.12132702281308543,0,10,0,0,10,0,0,10,0,6,3,1,6,3,1
3,50,20000,10,1000000000.0,1e-08,1e-08,0.12132702281308543,0,10,0,0,10,0,0,10,0,1,6,3,3,3,4
3,50,50000,10,1000000000.0,1e-08,1e-08,0.12132702281308543,0,10,0,0,10,0,0,10,0,2,5,3,2,4,4
4,50,5000,10,1000000000.0,1e-08,1e-08,0.11986405825551917,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
4,50,20000,10,1000000000.0,1e-08,1e-08,0.11986405825551917,1,8,1,0,9,1,0,9,1,2,4,4,2,4,4
4,50,50000,10,1000000000.0,1e-08,1e-08,0.11986405825551917,0,10,0,0,10,0,0,10,0,2,7,1,3,5,2
5,50,5000,10,1000000000.0,1e-08,1e-08,0.1209600512426998,0,10,0,0,10,0,0,10,0,5,1,4,5,1,4
5,50,20000,10,1000000000.0,1e-08,1e-08,0.1209600512426998,0,10,0,0,10,0,0,10,0,1,5,4,4,0,6
5,50,50000,10,1000000000.0,1e-08,1e-08,0.1209600512426998,0,10,0,0,10,0,0,10,0,2,5,3,3,4,3
6,50,5000,10,1000000000.0,1e-08,1e-08,0.12133508820456669,0,10,0,0,10,0,0,10,0,3,4,3,3,3,4
6,50,20000,10,1000000000.0,1e-08,1e-08,0.12133508820456669,0,10,0,0,10,0,0,10,0,4,5,1,4,3,3
6,50,50000,10,1000000000.0,1e-08,1e-08,0.12133508820456669,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
7,50,5000,10,1000000000.0,1e-08,1e-08,0.12103188734888733,2,8,0,2,8,0,2,8,0,3,5,2,3,4,3
7,50,20000,10,1000000000.0,1e-08,1e-08,0.12103188734888733,0,10,0,0,10,0,0,10,0,4,6,0,5,2,3
7,50,50000,10,1000000000.0,1e-08,1e-08,0.12103188734888733,0,10,0,0,10,0,0,10,0,1,9,0,2,5,3
8,50,5000,10,1000000000.0,1e-08,1e-08,0.1205485046405737,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,50,20000,10,1000000000.0,1e-08,1e-08,0.1205485046405737,1,9,0,1,9,0,1,9,0,2,4,4,2,4,4
8,50,50000,10,1000000000.0,1e-08,1e-08,0.1205485046405737,0,10,0,0,10,0,0,10,0,2,5,3,3,4,3
9,50,5000,10,1000000000.0,1e-08,1e-08,0.12130026977571243,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
9,50,20000,10,1000000000.0,1e-08,1e-08,0.12130026977571243,0,10,0,0,10,0,0,10,0,2,5,3,3,3,4
9,50,50000,10,1000000000.0,1e-08,1e-08,0.12130026977571243,0,10,0,0,10,0,0,10,0,2,7,1,4,5,1
10,50,5000,10,1000000000.0,1e-08,1e-08,0.12159353225222112,0,9,1,0,9,1,0,9,1,6,0,4,6,0,4
10,50,20000,10,1000000000.0,1e-08,1e-08,0.12159353225222112,1,8,1,1,8,1,0,9,1,2,2,6,3,1,6
10,50,50000,10,1000000000.0,1e-08,1e-08,0.12159353225222112,0,10,0,0,10,0,0,10,0,2,7,1,2,4,4
11,50,5000,10,1000000000.0,1e-08,1e-08,0.12131139664051267,0,10,0,0,10,0,0,10,0,3,5,2,4,2,4
11,50,20000,10,1000000000.0,1e-08,1e-08,0.12131139664051267,1,9,0,1,9,0,1,9,0,3,5,2,3,4,3
11,50,50000,10,1000000000.0,1e-08,1e-08,0.12131139664051267,1,9,0,1,9,0,0,10,0,1,5,4,2,4,4
12,50,5000,10,1000000000.0,1e-08,1e-08,0.12116038470019752,1,9,0,1,9,0,1,9,0,7,1,2,7,1,2
12,50,20000,10,1000000000.0,1e-08,1e-08,0.12116038470019752,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
12,50,50000,10,1000000000.0,1e-08,1e-08,0.12116038470019752,1,9,0,1,9,0,0,10,0,2,6,2,4,4,2
