exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,20,5000,5000,10,1,8,1,1,8,1,1,9,0,2,7,1,2,7,1
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,20,20000,20000,10,1,8,1,1,8,1,0,9,1,1,9,0,1,9,0
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,20,50000,26803,10,2,6,2,2,5,3,0,10,0,2,8,0,1,9,0
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,50,5000,5000,10,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,50,50000,26803,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,100,5000,5000,10,1,9,0,1,9,0,0,10,0,1,6,3,1,6,3
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,100,20000,20000,10,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
8,1,3751350723,500000000.0,1e-08,1e-08,200,26803,0.14811047270827893,100,50000,26803,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,20,5000,5000,10,0,9,1,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,20,20000,20000,10,1,7,2,1,7,2,0,9,1,0,9,1,0,9,1
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,20,50000,26006,10,1,6,3,1,6,3,0,10,0,1,9,0,1,9,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,50,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,50,20000,20000,10,0,9,1,0,9,1,0,10,0,1,9,0,1,9,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,50,50000,26006,10,1,8,1,1,8,1,0,10,0,1,9,0,1,9,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,100,5000,5000,10,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,500000000.0,1e-08,1e-08,200,26006,0.14949127124509728,100,50000,26006,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,20,5000,5000,10,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,20,20000,20000,10,3,7,0,3,7,0,0,10,0,2,8,0,1,9,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,20,50000,26851,10,1,9,0,1,9,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,50,5000,5000,10,1,9,0,1,9,0,1,9,0,2,8,0,2,8,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,50,20000,20000,10,1,9,0,1,9,0,0,10,0,1,9,0,1,9,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,50,50000,26851,10,1,9,0,1,9,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,100,5000,5000,10,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,500000000.0,1e-08,1e-08,200,26851,0.14741704219582139,100,50000,26851,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,20,5000,5000,10,1,9,0,1,9,0,1,9,0,1,9,0,1,9,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,20,20000,20000,10,1,9,0,1,9,0,0,10,0,1,9,0,1,9,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,20,50000,27051,10,2,7,1,2,7,1,0,10,0,0,10,0,0,10,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,50,5000,5000,10,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,50,20000,20000,10,1,9,0,1,9,0,0,10,0,1,9,0,1,9,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,50,50000,27051,10,3,7,0,3,7,0,0,10,0,3,7,0,3,7,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,100,5000,5000,10,1,9,0,1,9,0,0,10,0,3,7,0,3,7,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,100,20000,20000,10,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
8,4,1028385129,500000000.0,1e-08,1e-08,200,27051,0.14812040220324574,100,50000,27051,10,0,10,0,0,10,0,0,10,0,1,9,0,0,10,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,20,5000,5000,10,3,6,1,3,6,1,1,8,1,4,5,1,4,5,1
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,20,20000,20000,10,1,8,1,1,8,1,0,10,0,0,10,0,0,10,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,20,50000,26842,10,2,6,2,2,6,2,0,10,0,1,9,0,1,9,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,50,5000,5000,10,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,50,50000,26842,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,100,5000,5000,10,0,10,0,0,10,0,0,10,0,2,5,3,2,5,3
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,100,20000,20000,10,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
8,5,3733162117,500000000.0,1e-08,1e-08,200,26842,0.1481946203710603,100,50000,26842,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,20,20000,20000,10,0,8,2,0,8,2,0,10,0,0,9,1,0,9,1
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,20,50000,27441,10,2,5,3,2,5,3,0,10,0,1,9,0,1,9,0
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,50,5000,5000,10,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,8,2,0,9,1
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,50,50000,27441,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,100,5000,5000,10,0,10,0,0,10,0,0,10,0,1,4,5,1,6,3
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,6,1621423066,500000000.0,1e-08,1e-08,200,27441,0.14860099850588532,100,50000,27441,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,20,5000,5000,10,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,20,50000,26268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,50,5000,5000,10,1,8,1,1,8,1,0,10,0,2,6,2,2,6,2
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,50,50000,26268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,100,5000,5000,10,0,10,0,1,8,1,0,10,0,3,3,4,3,3,4
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,100,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,7,2280007816,500000000.0,1e-08,1e-08,200,26268,0.1506753464291153,100,50000,26268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,8,3506674515,500000000.0,1e-08,1e-08,200,27064,0.14993755542417972,20,5000,5000,10,0,8,2,0,8,2,0,10,0,2,6,2,2,6,2
8,8,3506674515,500000000.0,1e-08,1e-08,200,27064,0.14993755542417972,20,20000,20000,10,0,10,0,0,10,0,0,10,0,1,9,0,0,10,0
8,8,3506674515,500000000.0,1e-08,1e-08,200,27064,0.14993755542417972,20,50000,27064,10,1,7,2,1,7,2,1,9,0,1,9,0,1,9,0
8,8,3506674515,500000000.0,1e-08,1e-08,200,27064,0.14993755542417972,50,5000,5000,10,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
8,8,3506674515,500000000.0,1e-08,1e-08,200,27064,0.14993755542417972,50,20000,20000,10,0,8,2,0,8,2,0,10,0,0,9,1,0,9,1
8,8,3506674515,500000000.0,1e-08,1e-08,200,27064,0.14993755542417972,50,50000,27064,10,0,9,1,0,8,2,0,10,0,0,9,1,0,10,0
