experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,100,500000000.0,1e-08,1e-08,0.1229455126861605,0,99,1,0,98,2,1,99,0,21,49,30,22,47,31
0,50,20000,100,500000000.0,1e-08,1e-08,0.1229455126861605,2,96,2,2,97,1,1,99,0,17,62,21,16,64,20
0,50,50000,100,500000000.0,1e-08,1e-08,0.1229455126861605,1,99,0,1,99,0,1,99,0,13,81,6,12,82,6
1,50,5000,100,500000000.0,1e-08,1e-08,0.12101672777962968,2,96,2,2,96,2,2,97,1,36,42,22,35,43,22
1,50,20000,100,500000000.0,1e-08,1e-08,0.12101672777962968,1,99,0,1,99,0,1,99,0,15,70,15,15,70,15
1,50,50000,100,500000000.0,1e-08,1e-08,0.12101672777962968,3,93,4,3,93,4,1,99,0,17,78,5,17,79,4
2,50,5000,100,500000000.0,1e-08,1e-08,0.1203227394178034,2,96,2,2,96,2,1,96,3,23,42,35,22,45,33
2,50,20000,100,500000000.0,1e-08,1e-08,0.1203227394178034,4,94,2,3,95,2,3,97,0,20,63,17,19,64,17
2,50,50000,100,500000000.0,1e-08,1e-08,0.1203227394178034,2,89,9,2,89,9,0,97,3,14,75,11,14,75,11
3,50,5000,100,500000000.0,1e-08,1e-08,0.12203657299103751,1,92,7,1,92,7,0,94,6,28,40,32,29,39,32
3,50,20000,100,500000000.0,1e-08,1e-08,0.12203657299103751,4,94,2,4,95,1,3,97,0,17,67,16,17,68,15
3,50,50000,100,500000000.0,1e-08,1e-08,0.12203657299103751,7,92,1,7,92,1,0,100,0,14,84,2,14,85,1
4,50,5000,100,500000000.0,1e-08,1e-08,0.1194409594429352,1,96,3,1,96,3,0,98,2,28,42,30,29,43,28
4,50,20000,100,500000000.0,1e-08,1e-08,0.1194409594429352,4,89,7,4,88,8,1,99,0,19,58,23,19,57,24
4,50,50000,100,500000000.0,1e-08,1e-08,0.1194409594429352,3,95,2,2,96,2,1,99,0,18,76,6,17,78,5
5,50,5000,100,500000000.0,1e-08,1e-08,0.11974385096340989,3,95,2,4,94,2,3,96,1,25,49,26,25,49,26
5,50,20000,100,500000000.0,1e-08,1e-08,0.11974385096340989,1,97,2,1,97,2,0,100,0,20,68,12,19,70,11
5,50,50000,100,500000000.0,1e-08,1e-08,0.11974385096340989,3,92,5,3,93,4,0,99,1,14,79,7,13,80,7
6,50,5000,100,500000000.0,1e-08,1e-08,0.12107284796186224,1,97,2,1,97,2,1,98,1,33,46,21,33,46,21
6,50,20000,100,500000000.0,1e-08,1e-08,0.12107284796186224,2,96,2,3,95,2,1,97,2,21,66,13,21,67,12
6,50,50000,100,500000000.0,1e-08,1e-08,0.12107284796186224,2,94,4,2,94,4,0,99,1,6,81,13,6,82,12
7,50,5000,100,500000000.0,1e-08,1e-08,0.12019481888650546,1,98,1,1,98,1,0,99,1,23,50,27,23,52,25
7,50,20000,100,500000000.0,1e-08,1e-08,0.12019481888650546,5,95,0,6,94,0,0,100,0,19,70,11,19,68,13
7,50,50000,100,500000000.0,1e-08,1e-08,0.12019481888650546,2,93,5,2,93,5,0,99,1,8,85,7,7,87,6
8,50,5000,100,500000000.0,1e-08,1e-08,0.12189154912451362,4,91,5,3,93,4,2,95,3,27,48,25,25,50,25
8,50,20000,100,500000000.0,1e-08,1e-08,0.12189154912451362,3,95,2,5,93,2,2,97,1,18,60,22,18,62,20
8,50,50000,100,500000000.0,1e-08,1e-08,0.12189154912451362,4,95,1,3,96,1,0,99,1,15,76,9,15,76,9
9,50,5000,100,500000000.0,1e-08,1e-08,0.11948312404998382,5,93,2,4,94,2,3,96,1,31,41,28,31,41,28
9,50,20000,100,500000000.0,1e-08,1e-08,0.11948312404998382,3,93,4,3,93,4,1,97,2,20,65,15,20,66,14
9,50,50000,100,500000000.0,1e-08,1e-08,0.11948312404998382,1,96,3,2,95,3,0,99,1,11,82,7,10,83,7
