experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,1000,100,1000000000.0,1e-08,1e-08,0.1509859395133783,3.0,95.0,2.0,3.0,95.0,2.0,3.0,95.0,2.0,21.0,50.0,29.0,21.0,50.0,29.0
1,50,1000,100,1000000000.0,1e-08,1e-08,0.14740607394694624,0.0,99.0,1.0,1.0,98.0,1.0,1.0,96.0,3.0,20.0,52.0,28.0,19.0,55.0,26.0
2,50,1000,100,1000000000.0,1e-08,1e-08,0.14996652504184368,2.0,93.0,5.0,2.0,93.0,5.0,1.0,94.0,5.0,24.0,47.0,29.0,22.0,50.0,28.0
