experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,1000,100,1000000000.0,1e-08,1e-08,0.15010470368289622,1.0,97.0,2.0,1.0,96.0,3.0,1.0,96.0,3.0,30.0,31.0,39.0,30.0,31.0,39.0
1,50,1000,100,1000000000.0,1e-08,1e-08,0.1513485980821791,2.0,94.0,4.0,2.0,93.0,5.0,2.0,94.0,4.0,32.0,36.0,32.0,31.0,37.0,32.0
2,50,1000,100,1000000000.0,1e-08,1e-08,0.15027775906522567,4.0,90.0,6.0,4.0,91.0,5.0,3.0,92.0,5.0,41.0,27.0,32.0,41.0,27.0,32.0
