experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,100,500000000.0,1e-08,1e-08,0.1228094281881319,0,100,0,0,100,0,0,100,0,30,29,41,31,27,42
0,50,20000,100,500000000.0,1e-08,1e-08,0.1228094281881319,1,98,1,1,98,1,1,99,0,22,49,29,33,35,32
0,50,50000,100,500000000.0,1e-08,1e-08,0.1228094281881319,2,98,0,2,98,0,1,99,0,19,70,11,33,46,21
1,50,5000,100,500000000.0,1e-08,1e-08,0.12110434477519373,2,97,1,1,98,1,2,96,2,42,33,25,44,28,28
1,50,20000,100,500000000.0,1e-08,1e-08,0.12110434477519373,1,99,0,1,99,0,0,100,0,22,59,19,27,47,26
1,50,50000,100,500000000.0,1e-08,1e-08,0.12110434477519373,1,99,0,1,99,0,0,100,0,22,64,14,28,51,21
2,50,5000,100,500000000.0,1e-08,1e-08,0.12046565345796166,2,94,4,2,94,4,1,96,3,38,23,39,39,21,40
2,50,20000,100,500000000.0,1e-08,1e-08,0.12046565345796166,1,98,1,1,99,0,0,100,0,24,50,26,32,36,32
2,50,50000,100,500000000.0,1e-08,1e-08,0.12046565345796166,3,95,2,2,96,2,0,100,0,19,62,19,33,41,26
3,50,5000,100,500000000.0,1e-08,1e-08,0.12207617704948479,1,93,6,1,94,5,1,96,3,30,32,38,33,26,41
3,50,20000,100,500000000.0,1e-08,1e-08,0.12207617704948479,3,97,0,3,97,0,1,99,0,15,62,23,23,43,34
3,50,50000,100,500000000.0,1e-08,1e-08,0.12207617704948479,2,98,0,2,98,0,0,100,0,19,70,11,29,48,23
4,50,5000,100,500000000.0,1e-08,1e-08,0.11956384053615957,0,98,2,0,99,1,0,100,0,37,28,35,39,24,37
4,50,20000,100,500000000.0,1e-08,1e-08,0.11956384053615957,2,95,3,2,94,4,1,99,0,24,42,34,29,30,41
4,50,50000,100,500000000.0,1e-08,1e-08,0.11956384053615957,1,98,1,1,98,1,0,100,0,23,63,14,29,51,20
5,50,5000,100,500000000.0,1e-08,1e-08,0.11985184386483336,2,97,1,2,96,2,2,97,1,37,29,34,38,25,37
5,50,20000,100,500000000.0,1e-08,1e-08,0.11985184386483336,0,100,0,0,100,0,0,100,0,26,47,27,29,36,35
5,50,50000,100,500000000.0,1e-08,1e-08,0.11985184386483336,3,95,2,3,95,2,0,100,0,15,72,13,22,58,20
6,50,5000,100,500000000.0,1e-08,1e-08,0.12100099640684173,2,96,2,1,97,2,1,97,2,44,28,28,44,26,30
6,50,20000,100,500000000.0,1e-08,1e-08,0.12100099640684173,2,96,2,2,96,2,1,97,2,24,51,25,31,38,31
6,50,50000,100,500000000.0,1e-08,1e-08,0.12100099640684173,0,100,0,0,100,0,0,100,0,11,63,26,19,46,35
7,50,5000,100,500000000.0,1e-08,1e-08,0.12015391614062194,0,100,0,0,100,0,0,99,1,25,41,34,25,41,34
7,50,20000,100,500000000.0,1e-08,1e-08,0.12015391614062194,2,97,1,2,97,1,1,99,0,27,51,22,31,43,26
7,50,50000,100,500000000.0,1e-08,1e-08,0.12015391614062194,2,98,0,2,98,0,0,100,0,8,75,17,17,60,23
8,50,5000,100,500000000.0,1e-08,1e-08,0.12183411898069657,3,93,4,3,93,4,2,95,3,37,30,33,39,26,35
8,50,20000,100,500000000.0,1e-08,1e-08,0.12183411898069657,3,95,2,3,95,2,2,96,2,29,43,28,32,32,36
8,50,50000,100,500000000.0,1e-08,1e-08,0.12183411898069657,3,96,1,3,96,1,0,100,0,20,59,21,28,41,31
9,50,5000,100,500000000.0,1e-08,1e-08,0.11944139953172671,3,97,0,4,95,1,3,97,0,35,30,35,38,26,36
9,50,20000,100,500000000.0,1e-08,1e-08,0.11944139953172671,2,94,4,2,94,4,0,97,3,20,58,22,34,37,29
9,50,50000,100,500000000.0,1e-08,1e-08,0.11944139953172671,1,99,0,0,100,0,0,100,0,16,72,12,23,51,26
